subject activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyAccMag-mean() tGravityAccMag-mean() tBodyAccJerkMag-mean() tBodyGyroMag-mean() tBodyGyroJerkMag-mean() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-meanFreq()-X fBodyAcc-meanFreq()-Y fBodyAcc-meanFreq()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-meanFreq()-X fBodyAccJerk-meanFreq()-Y fBodyAccJerk-meanFreq()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-meanFreq()-X fBodyGyro-meanFreq()-Y fBodyGyro-meanFreq()-Z fBodyAccMag-mean() fBodyAccMag-meanFreq() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-meanFreq() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-meanFreq() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-meanFreq() tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-std() tGravityAccMag-std() tBodyAccJerkMag-std() tBodyGyroMag-std() tBodyGyroJerkMag-std() fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-std() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-std() fBodyBodyGyroJerkMag-std()
 9 WALKING_UPSTAIRS 2.703138e-01 -2.094666e-02 -1.012338e-01 6.708455e-01 -4.674470e-02  1.043537e-01 8.401714e-02  6.784858e-03 -1.029981e-03 -7.013182e-02 -7.298843e-02 1.090929e-01 -8.922549e-02 -3.973444e-02 -5.340288e-02 -5.051835e-01 -5.051835e-01 -6.216082e-01 -5.502019e-01 -7.629796e-01 -5.792584e-01 -6.102678e-01 -5.921191e-01 -2.913492e-01 -8.790033e-02 -3.043342e-02 -6.213771e-01 -6.997666e-01 -7.029319e-01 -2.191763e-01 -2.961077e-01 -2.902923e-01 -6.398632e-01 -6.839243e-01 -6.126805e-01 -2.059093e-01 -2.408804e-01 -1.961533e-01 -5.531864e-01 -3.582691e-03 -6.091937e-01  9.835983e-02 -7.008631e-01 -1.088286e-01 -7.864740e-01  9.277637e-02 -5.556565e-01 -5.758879e-01 -5.061118e-01 -9.587847e-01 -9.499381e-01 -9.205543e-01 -5.783052e-01 -6.789239e-01 -7.216101e-01 -6.764524e-01 -6.704982e-01 -5.875577e-01 -7.617109e-01 -7.732739e-01 -7.446560e-01 -5.530383e-01 -5.530383e-01 -6.088621e-01 -6.631984e-01 -7.861769e-01 -5.479957e-01 -5.867661e-01 -5.010740e-01 -5.728199e-01 -6.790659e-01 -7.391399e-01 -6.906899e-01 -6.672032e-01 -6.194686e-01 -6.244568e-01 -6.116193e-01 -6.977294e-01 -8.012963e-01
10 WALKING_DOWNSTAIRS 2.762388e-01 -1.888572e-02 -1.120877e-01 6.583591e-01 -1.651778e-01  3.073667e-02 8.040004e-02  1.537740e-02 -1.439821e-02 -1.446584e-02 -8.630383e-02 8.959438e-02 -1.106283e-01 -4.338095e-02 -5.542614e-02 -3.847397e-01 -3.847397e-01 -4.748973e-01 -4.124416e-01 -6.704020e-01 -4.186943e-01 -3.803940e-01 -5.727549e-01 -1.982375e-01  8.889904e-02  1.269558e-01 -4.367617e-01 -4.504024e-01 -6.547819e-01 -8.560862e-02 -1.810635e-01 -2.081085e-02 -5.317279e-01 -5.641146e-01 -4.675046e-01 -9.330715e-02 -1.295848e-01 -7.232244e-02 -4.078072e-01  1.515857e-01 -3.983985e-01  1.271748e-01 -5.852226e-01  4.725690e-03 -7.132524e-01  1.357796e-01 -4.252162e-01 -3.867046e-01 -5.231134e-01 -9.642459e-01 -9.527309e-01 -9.297290e-01 -4.143952e-01 -4.319613e-01 -6.906048e-01 -5.978738e-01 -4.924824e-01 -5.059815e-01 -6.326692e-01 -7.134411e-01 -6.110264e-01 -4.435819e-01 -4.435819e-01 -4.162769e-01 -5.418310e-01 -7.148640e-01 -4.290985e-01 -4.305544e-01 -5.372419e-01 -4.441191e-01 -4.516266e-01 -7.260136e-01 -6.210409e-01 -4.605359e-01 -5.650370e-01 -5.527396e-01 -4.462807e-01 -5.937707e-01 -7.379511e-01
10 WALKING_UPSTAIRS 2.792261e-01 -1.374107e-02 -1.082356e-01 5.826375e-01  2.814715e-01  1.506301e-01 7.751306e-02  3.308318e-03  5.101053e-04 -3.424484e-02 -7.815288e-02 9.661178e-02 -9.848853e-02 -3.868208e-02 -5.604349e-02 -9.617663e-01 -9.617663e-01 -9.789339e-01 -9.483947e-01 -9.843145e-01 -9.753107e-01 -9.402556e-01 -9.760611e-01  7.987045e-03  1.178774e-01  2.432387e-01 -9.781203e-01 -9.634428e-01 -9.826301e-01  1.804972e-01 -2.366161e-02  1.362310e-01 -9.661192e-01 -9.768709e-01 -9.572695e-01  3.895390e-02  7.343779e-02  3.669317e-02 -9.513486e-01  2.577584e-01 -9.704360e-01  3.030746e-01 -9.589650e-01  4.078922e-02 -9.804383e-01  2.230030e-01 -9.769147e-01 -9.291411e-01 -9.722649e-01 -9.719010e-01 -9.615175e-01 -9.737183e-01 -9.778363e-01 -9.625103e-01 -9.852148e-01 -9.704295e-01 -9.768510e-01 -9.575695e-01 -9.784834e-01 -9.839244e-01 -9.823181e-01 -9.422397e-01 -9.422397e-01 -9.702883e-01 -9.464603e-01 -9.792574e-01 -9.782498e-01 -9.283001e-01 -9.715284e-01 -9.796124e-01 -9.643878e-01 -9.864711e-01 -9.719465e-01 -9.770340e-01 -9.614996e-01 -9.469763e-01 -9.693393e-01 -9.477661e-01 -9.789975e-01
11 WALKING_UPSTAIRS 2.765853e-01 -1.912725e-02 -1.089418e-01 7.305262e-01  5.273870e-02  1.402099e-01 8.301345e-02  7.804425e-03 -6.574250e-03 -5.473284e-02 -5.822758e-02 8.728411e-02 -8.054733e-02 -4.939141e-02 -4.801402e-02 -5.428250e-01 -5.428250e-01 -6.798195e-01 -6.283679e-01 -8.268290e-01 -6.195240e-01 -5.314553e-01 -7.500261e-01 -2.243604e-01  3.185515e-02  5.027830e-02 -6.766730e-01 -6.323747e-01 -8.255596e-01 -8.742549e-02 -2.425726e-01 -9.922963e-02 -7.099493e-01 -7.768529e-01 -7.088430e-01 -1.118749e-01 -1.817780e-01 -8.109517e-02 -6.115281e-01  1.272504e-01 -6.561335e-01  1.583636e-01 -7.575859e-01 -1.097818e-01 -8.648270e-01  1.178921e-01 -5.894765e-01 -4.903793e-01 -6.653243e-01 -9.753945e-01 -9.571388e-01 -9.568120e-01 -6.593231e-01 -6.087842e-01 -8.425118e-01 -7.399221e-01 -7.035018e-01 -7.250160e-01 -7.817381e-01 -8.683773e-01 -7.954909e-01 -6.128823e-01 -6.128823e-01 -6.642418e-01 -6.967714e-01 -8.669050e-01 -5.794918e-01 -5.025702e-01 -6.520957e-01 -6.721956e-01 -6.094450e-01 -8.582596e-01 -7.517583e-01 -6.708927e-01 -7.559606e-01 -6.744702e-01 -6.769251e-01 -7.112672e-01 -8.792540e-01
12 SITTING 2.756394e-01 -1.848614e-02 -1.079173e-01 6.299648e-01  1.126526e-01 -4.945201e-02 5.723665e-02  1.063259e-02  1.553385e-02 -7.027844e-02 -4.224184e-02 8.931157e-02 -7.269243e-02 -4.573748e-02 -5.151109e-02 -4.854199e-01 -4.854199e-01 -5.538133e-01 -5.859573e-01 -7.350157e-01 -4.981192e-01 -3.926941e-01 -7.561021e-01 -1.884753e-01  1.024211e-01  5.313742e-02 -5.146420e-01 -4.717448e-01 -7.992841e-01 -1.056043e-01 -2.320841e-01 -1.014735e-01 -5.856695e-01 -7.081845e-01 -6.448805e-01 -4.941900e-02 -1.073867e-01 -1.240119e-02 -4.779240e-01  1.209040e-01 -4.611532e-01  9.543831e-02 -6.690951e-01 -2.388887e-03 -7.492075e-01  1.536600e-02 -5.086652e-01 -4.013576e-01 -7.224436e-01 -9.730397e-01 -9.616846e-01 -9.568872e-01 -4.875139e-01 -4.417985e-01 -8.130447e-01 -6.773076e-01 -6.803988e-01 -6.992457e-01 -6.231896e-01 -7.863128e-01 -7.131142e-01 -5.090507e-01 -5.090507e-01 -4.684621e-01 -6.417746e-01 -7.427608e-01 -5.141523e-01 -4.449100e-01 -7.284696e-01 -5.057450e-01 -4.473393e-01 -8.256206e-01 -7.078311e-01 -6.696223e-01 -7.484318e-01 -6.055298e-01 -4.809188e-01 -6.874801e-01 -7.532652e-01
12 WALKING_DOWNSTAIRS 2.721458e-01 -1.822991e-02 -1.057355e-01 7.491178e-01 -2.958537e-02  9.245176e-02 7.993543e-02  1.478094e-03 -1.066097e-02 -5.752646e-02 -7.142187e-02 1.009462e-01 -7.341675e-02 -4.219571e-02 -6.174320e-02 -6.130184e-01 -6.130184e-01 -6.849741e-01 -6.645995e-01 -8.077534e-01 -6.371317e-01 -6.173702e-01 -7.054152e-01 -1.803255e-01  2.702788e-03  8.027474e-02 -6.599621e-01 -6.774250e-01 -7.582389e-01 -4.125720e-03 -1.849616e-01 -9.474753e-02 -7.156950e-01 -7.711757e-01 -6.663677e-01 -1.095151e-01 -1.072545e-01 -1.026347e-01 -6.178977e-01  4.294900e-02 -6.385054e-01  1.485743e-01 -7.520483e-01 -7.661999e-02 -8.192210e-01  1.103705e-01 -6.382084e-01 -6.089833e-01 -6.826155e-01 -9.633085e-01 -9.597720e-01 -9.395476e-01 -6.507903e-01 -6.646997e-01 -7.779088e-01 -7.643168e-01 -7.744444e-01 -6.507501e-01 -7.720697e-01 -8.291856e-01 -7.754586e-01 -6.214563e-01 -6.214563e-01 -6.368983e-01 -7.158966e-01 -8.178158e-01 -6.393485e-01 -6.310031e-01 -6.966651e-01 -6.729967e-01 -6.741415e-01 -7.963086e-01 -7.810574e-01 -7.794450e-01 -6.792729e-01 -6.829552e-01 -6.369551e-01 -7.424616e-01 -8.291298e-01
13 SITTING 2.758959e-01 -1.765048e-02 -1.091353e-01 7.099965e-01 -4.208581e-02  4.430105e-02 7.943930e-02  3.879620e-03 -1.234859e-02 -5.624706e-02 -6.166138e-02 9.886606e-02 -8.811824e-02 -4.408366e-02 -5.827187e-02 -5.398716e-01 -5.398716e-01 -6.254669e-01 -5.812154e-01 -7.127450e-01 -6.388179e-01 -4.934672e-01 -6.297363e-01 -2.220566e-01 -3.483115e-02  4.872603e-02 -6.600822e-01 -6.033405e-01 -7.108317e-01 -2.419618e-02 -2.383285e-01 -1.206055e-01 -6.586424e-01 -6.471528e-01 -6.204712e-01 -1.126455e-01 -8.061302e-02 -5.050370e-03 -5.899281e-01  8.494757e-02 -6.072953e-01  1.828612e-01 -6.522253e-01  6.258918e-02 -7.120544e-01  1.574175e-01 -6.248445e-01 -4.488161e-01 -5.872306e-01 -9.672681e-01 -9.535407e-01 -9.387279e-01 -6.388895e-01 -5.697005e-01 -7.284530e-01 -7.151099e-01 -6.457286e-01 -6.433373e-01 -7.157730e-01 -7.189886e-01 -7.127164e-01 -5.972310e-01 -5.972310e-01 -6.102485e-01 -6.363649e-01 -7.120562e-01 -6.206020e-01 -4.625845e-01 -5.990369e-01 -6.496062e-01 -5.621299e-01 -7.448235e-01 -7.346580e-01 -6.506236e-01 -6.857745e-01 -6.653449e-01 -6.170755e-01 -6.919152e-01 -7.331836e-01
14 WALKING_DOWNSTAIRS 2.687425e-01 -1.663713e-02 -9.960071e-02 6.957107e-01 -1.655484e-01 -2.554991e-01 7.316365e-02  4.686802e-03 -1.097052e-03  7.797884e-03 -1.013563e-01 4.831308e-02 -1.098269e-01 -4.391778e-02 -4.186105e-02 -2.909276e-01 -2.909276e-01 -4.879847e-01 -2.451244e-01 -6.082568e-01 -5.035786e-01 -2.927747e-01 -2.725911e-01 -3.488536e-01 -1.645650e-01 -1.405952e-01 -5.472284e-01 -4.756027e-01 -5.026424e-01 -2.050894e-01 -3.630110e-01 -3.046372e-01 -6.115222e-01 -3.552488e-01 -2.475979e-01 -2.603534e-01 -3.500296e-01 -2.661673e-01 -3.395461e-01 -6.819670e-02 -4.725190e-01  8.407930e-02 -4.083283e-01 -1.244350e-01 -6.322881e-01  6.652258e-02 -4.938759e-01 -1.903568e-01 -8.297899e-02 -9.339865e-01 -9.348784e-01 -9.039595e-01 -5.308000e-01 -4.593977e-01 -5.520000e-01 -6.493050e-01 -2.166508e-01 -1.693665e-01 -7.231506e-01 -6.058333e-01 -5.254514e-01 -3.216767e-01 -3.216767e-01 -4.832219e-01 -3.173775e-01 -6.450347e-01 -4.910906e-01 -1.941617e-01 -5.983529e-02 -5.561723e-01 -4.796365e-01 -6.010038e-01 -6.639382e-01 -1.509117e-01 -2.257291e-01 -4.194581e-01 -5.019222e-01 -3.770129e-01 -6.893812e-01
14 WALKING_UPSTAIRS 2.746387e-01 -1.507401e-02 -1.052644e-01 5.990990e-01  5.461098e-02  1.301359e-01 7.730171e-02  3.664752e-03 -6.957641e-03 -2.304744e-02 -7.738008e-02 9.884076e-02 -1.005427e-01 -4.147388e-02 -5.497868e-02 -9.546517e-01 -9.546517e-01 -9.826601e-01 -9.456475e-01 -9.854888e-01 -9.775900e-01 -9.570217e-01 -9.597206e-01 -2.274936e-01 -1.176218e-01 -6.689479e-03 -9.853497e-01 -9.788974e-01 -9.772062e-01  2.563920e-02 -1.272799e-01 -3.709310e-02 -9.698650e-01 -9.660229e-01 -9.685026e-01 -1.826193e-01 -3.312432e-01 -4.804499e-02 -9.582674e-01 -3.496217e-02 -9.810489e-01  3.014307e-01 -9.590728e-01 -1.821244e-01 -9.810546e-01  1.656115e-01 -9.754943e-01 -9.441896e-01 -9.438914e-01 -9.636665e-01 -9.655383e-01 -9.528934e-01 -9.853069e-01 -9.789041e-01 -9.807133e-01 -9.737621e-01 -9.620390e-01 -9.671016e-01 -9.813099e-01 -9.823213e-01 -9.868412e-01 -9.447066e-01 -9.447066e-01 -9.817147e-01 -9.474697e-01 -9.802528e-01 -9.748374e-01 -9.410205e-01 -9.396155e-01 -9.866539e-01 -9.805826e-01 -9.829665e-01 -9.751385e-01 -9.602616e-01 -9.696227e-01 -9.461191e-01 -9.814869e-01 -9.490809e-01 -9.804038e-01
15 WALKING_DOWNSTAIRS 2.782134e-01 -1.646448e-02 -1.125636e-01 6.888725e-01  1.026605e-01  3.728977e-02 7.768974e-02  4.893921e-03 -4.409932e-03 -2.812788e-02 -7.587885e-02 9.066585e-02 -9.609101e-02 -4.412707e-02 -5.556455e-02 -5.272854e-01 -5.272854e-01 -6.547997e-01 -6.177218e-01 -8.052827e-01 -5.837723e-01 -5.077352e-01 -7.417457e-01 -2.186371e-01  5.050854e-02  4.245196e-02 -6.434695e-01 -6.094081e-01 -8.055435e-01 -4.902736e-02 -1.974087e-01 -7.378345e-02 -6.643544e-01 -7.607114e-01 -7.111945e-01 -1.432567e-01 -2.221375e-01 -5.797606e-02 -5.629484e-01  6.142792e-02 -6.148176e-01  1.584042e-01 -7.323945e-01 -1.496809e-01 -8.368019e-01  9.555642e-02 -5.565412e-01 -4.816795e-01 -7.057066e-01 -9.687334e-01 -9.563695e-01 -9.472401e-01 -6.240558e-01 -5.943127e-01 -8.258209e-01 -6.968595e-01 -7.087791e-01 -7.218270e-01 -7.313827e-01 -8.539566e-01 -7.956262e-01 -5.571479e-01 -5.571479e-01 -6.256604e-01 -6.753370e-01 -8.371201e-01 -5.471509e-01 -5.015684e-01 -7.114313e-01 -6.376552e-01 -6.058549e-01 -8.451111e-01 -7.093362e-01 -6.845047e-01 -7.516965e-01 -6.236556e-01 -6.431012e-01 -6.953468e-01 -8.496345e-01
16 WALKING_DOWNSTAIRS 2.778874e-01 -1.585679e-02 -1.072639e-01 7.009061e-01 -6.052360e-02  4.020755e-02 7.754889e-02  8.840183e-03 -1.437300e-03 -1.223414e-02 -7.244448e-02 7.301447e-02 -1.073616e-01 -4.166157e-02 -5.394704e-02 -6.161311e-01 -6.161311e-01 -7.252469e-01 -7.181688e-01 -8.604464e-01 -7.008851e-01 -6.715721e-01 -6.609899e-01 -2.385705e-01 -2.764347e-02  2.782346e-02 -7.446620e-01 -7.486270e-01 -7.523022e-01 -3.188891e-02 -1.945120e-01 -1.705924e-01 -7.897801e-01 -8.159621e-01 -7.562866e-01 -1.378991e-01 -1.580184e-01 -5.389463e-02 -6.669625e-01  5.586682e-02 -7.131676e-01  2.216836e-01 -8.171288e-01 -5.012213e-02 -8.727723e-01  1.532112e-01 -6.681615e-01 -6.499471e-01 -6.038199e-01 -9.711564e-01 -9.647275e-01 -9.452940e-01 -7.278617e-01 -7.350802e-01 -7.678730e-01 -7.995345e-01 -8.101241e-01 -7.376300e-01 -8.582987e-01 -8.695731e-01 -8.370399e-01 -6.617197e-01 -6.617197e-01 -7.196470e-01 -7.848229e-01 -8.748002e-01 -6.569690e-01 -6.618445e-01 -6.056467e-01 -7.347767e-01 -7.384344e-01 -7.820895e-01 -8.049918e-01 -8.094214e-01 -7.569936e-01 -7.126810e-01 -7.298694e-01 -8.020782e-01 -8.865332e-01
17 SITTING 2.734415e-01 -1.808886e-02 -1.091119e-01 6.686133e-01  1.046226e-02  2.237221e-02 8.251105e-02  8.852282e-03  3.826533e-03 -1.284167e-02 -8.338810e-02 7.451578e-02 -1.090841e-01 -3.902962e-02 -5.040912e-02 -5.069060e-01 -5.069060e-01 -6.520739e-01 -6.306939e-01 -7.828177e-01 -6.007239e-01 -5.459474e-01 -6.793899e-01 -2.560684e-01 -4.418418e-03 -1.567079e-02 -6.751347e-01 -6.509375e-01 -7.744940e-01 -1.305410e-01 -1.991362e-01 -2.019579e-01 -6.902468e-01 -7.428462e-01 -6.879221e-01 -7.941985e-02 -1.090067e-01 -4.711104e-02 -5.959080e-01  1.921961e-02 -6.535314e-01  1.883332e-01 -7.370355e-01  1.342492e-02 -8.045236e-01  2.178746e-01 -5.508679e-01 -5.072753e-01 -6.132173e-01 -9.695362e-01 -9.570482e-01 -9.454210e-01 -6.359494e-01 -6.209185e-01 -7.866812e-01 -7.250049e-01 -7.317327e-01 -6.810022e-01 -7.577926e-01 -8.009331e-01 -7.804575e-01 -5.852874e-01 -5.852874e-01 -6.493161e-01 -7.155929e-01 -8.001342e-01 -5.336716e-01 -5.190623e-01 -6.090079e-01 -6.288999e-01 -6.143454e-01 -7.975332e-01 -7.376618e-01 -7.277975e-01 -7.088691e-01 -6.445024e-01 -6.478868e-01 -7.525236e-01 -8.098827e-01
17 WALKING_DOWNSTAIRS 2.779501e-01 -1.389326e-02 -1.097861e-01 9.010979e-01 -1.750477e-01 -2.848806e-01 7.403942e-02  6.070928e-03 -4.788138e-03 -2.684828e-02 -7.819644e-02 9.375361e-02 -9.965492e-02 -4.012077e-02 -5.378651e-02 -9.781089e-01 -9.781089e-01 -9.924075e-01 -9.794599e-01 -9.945752e-01 -9.921572e-01 -9.737013e-01 -9.826645e-01 -2.778538e-02  7.008891e-02  1.624040e-01 -9.936608e-01 -9.868705e-01 -9.894270e-01  2.576606e-01  8.837506e-02  1.014355e-01 -9.851342e-01 -9.874056e-01 -9.864297e-01 -9.232214e-02 -9.192205e-02  6.669742e-02 -9.813965e-01  1.442847e-01 -9.912033e-01  4.034668e-01 -9.859191e-01 -5.206030e-02 -9.931303e-01  3.322457e-01 -9.923707e-01 -9.652057e-01 -9.763523e-01 -9.866749e-01 -9.705559e-01 -9.731605e-01 -9.936280e-01 -9.871958e-01 -9.910617e-01 -9.857193e-01 -9.857626e-01 -9.856665e-01 -9.923575e-01 -9.930257e-01 -9.935433e-01 -9.746549e-01 -9.746549e-01 -9.914814e-01 -9.804943e-01 -9.927342e-01 -9.924340e-01 -9.627148e-01 -9.740562e-01 -9.941786e-01 -9.885782e-01 -9.912585e-01 -9.860270e-01 -9.849200e-01 -9.866506e-01 -9.744337e-01 -9.906555e-01 -9.802921e-01 -9.924901e-01
18 SITTING 2.779582e-01 -1.729741e-02 -1.100215e-01 9.625812e-01 -1.800188e-01  7.839768e-02 7.565607e-02  1.212353e-02  4.263435e-04 -2.592363e-02 -7.444583e-02 8.545331e-02 -9.819702e-02 -3.979305e-02 -5.331961e-02 -9.636858e-01 -9.636858e-01 -9.843366e-01 -9.518878e-01 -9.866119e-01 -9.900529e-01 -9.498110e-01 -9.727381e-01 -3.778018e-02 -9.572905e-02 -1.099192e-01 -9.896497e-01 -9.690709e-01 -9.867784e-01  1.471909e-01 -1.951801e-01 -2.231056e-02 -9.536685e-01 -9.827656e-01 -9.664665e-01 -3.070396e-01 -3.757600e-01 -2.298356e-01 -9.713733e-01 -4.220509e-02 -9.825389e-01  3.642971e-01 -9.646280e-01 -3.146461e-01 -9.873325e-01 -8.020048e-03 -9.917052e-01 -9.390953e-01 -9.507530e-01 -9.956798e-01 -9.755771e-01 -9.737593e-01 -9.898081e-01 -9.687810e-01 -9.890642e-01 -9.504615e-01 -9.776610e-01 -9.623303e-01 -9.761982e-01 -9.918061e-01 -9.827657e-01 -9.642222e-01 -9.642222e-01 -9.837336e-01 -9.479425e-01 -9.863545e-01 -9.924698e-01 -9.370879e-01 -9.435083e-01 -9.909529e-01 -9.707643e-01 -9.900110e-01 -9.503921e-01 -9.750298e-01 -9.644317e-01 -9.651017e-01 -9.842856e-01 -9.468382e-01 -9.856818e-01
18 STANDING 2.761774e-01 -1.728187e-02 -1.079408e-01 6.947928e-01 -1.030184e-03  9.103142e-02 7.764483e-02  1.295344e-02  8.864674e-04 -3.843014e-02 -6.722488e-02 9.132415e-02 -9.406217e-02 -4.456225e-02 -5.716520e-02 -6.309475e-01 -6.309475e-01 -7.332072e-01 -6.934346e-01 -8.485186e-01 -6.894531e-01 -6.379574e-01 -7.422314e-01 -2.257828e-01  2.407582e-02  1.246616e-02 -7.284965e-01 -7.239077e-01 -8.192225e-01 -8.856960e-02 -2.132930e-01 -1.323011e-01 -7.728555e-01 -8.014416e-01 -7.370160e-01 -9.622116e-02 -2.337752e-01 -7.645122e-02 -6.731544e-01  1.030813e-01 -7.207476e-01  2.120486e-01 -8.029625e-01 -3.426101e-02 -8.754412e-01  2.113080e-01 -6.679323e-01 -5.990956e-01 -6.792167e-01 -9.787428e-01 -9.690000e-01 -9.581475e-01 -7.117256e-01 -7.117885e-01 -8.345207e-01 -7.914264e-01 -7.593708e-01 -7.261468e-01 -8.309200e-01 -8.743718e-01 -8.256670e-01 -6.650117e-01 -6.650117e-01 -7.237888e-01 -7.603153e-01 -8.797819e-01 -6.604895e-01 -6.055104e-01 -6.725417e-01 -7.202034e-01 -7.183985e-01 -8.485065e-01 -7.997606e-01 -7.403215e-01 -7.485927e-01 -7.131378e-01 -7.291634e-01 -7.756704e-01 -8.947090e-01
19 SITTING 2.697235e-01 -1.820315e-02 -1.182772e-01 4.753230e-01  9.640526e-02  2.330114e-01 7.741711e-02  1.158124e-02 -1.861989e-03 -3.857240e-02 -6.814206e-02 8.836096e-02 -8.959394e-02 -3.832087e-02 -5.696494e-02 -5.315074e-01 -5.315074e-01 -5.762252e-01 -5.489197e-01 -6.834365e-01 -5.870504e-01 -5.218881e-01 -6.470263e-01 -2.124333e-01  7.038736e-02  1.603839e-01 -5.931572e-01 -5.966949e-01 -6.809245e-01  2.638830e-03 -1.607876e-01  2.255799e-03 -5.530896e-01 -6.413373e-01 -6.026253e-01 -3.218426e-02 -1.962976e-01 -4.150138e-02 -5.564044e-01  1.157752e-01 -5.760646e-01  2.320748e-01 -6.362880e-01 -1.993362e-02 -7.195190e-01  1.286297e-01 -5.746589e-01 -5.070351e-01 -6.491847e-01 -9.582904e-01 -9.592538e-01 -9.418003e-01 -5.710883e-01 -5.713112e-01 -7.053430e-01 -6.377899e-01 -6.438663e-01 -6.456822e-01 -6.188362e-01 -7.259914e-01 -6.866846e-01 -5.995528e-01 -5.995528e-01 -6.019186e-01 -6.100934e-01 -7.255987e-01 -5.708980e-01 -5.309016e-01 -6.802914e-01 -5.869101e-01 -5.725967e-01 -7.285219e-01 -6.660713e-01 -6.501054e-01 -6.947291e-01 -6.898609e-01 -6.410890e-01 -6.623260e-01 -7.542237e-01
20 LAYING 2.682107e-01 -1.543944e-02 -1.034321e-01 5.909750e-01  2.436483e-03  1.077897e-01 7.503469e-02 -2.744001e-03 -2.514955e-03 -2.247268e-02 -7.896272e-02 9.002540e-02 -9.455471e-02 -4.020124e-02 -5.257246e-02 -4.524293e-01 -4.524293e-01 -5.645560e-01 -4.351223e-01 -6.246278e-01 -5.706379e-01 -3.249597e-01 -6.719559e-01 -2.735417e-01  4.039405e-02  9.643315e-02 -6.245233e-01 -4.669961e-01 -7.307666e-01 -1.408437e-01 -2.701896e-01 -1.711111e-01 -5.793825e-01 -5.263040e-01 -4.311552e-01 -1.298457e-01 -1.608481e-01 -4.514714e-02 -5.054934e-01  7.385465e-02 -5.381599e-01  1.166729e-01 -5.473327e-01 -2.630092e-03 -6.593420e-01  9.479266e-02 -5.465354e-01 -2.590113e-01 -6.397302e-01 -9.580456e-01 -9.511496e-01 -9.436570e-01 -5.862159e-01 -4.261204e-01 -7.389135e-01 -6.523964e-01 -4.858945e-01 -4.608432e-01 -6.531861e-01 -6.435731e-01 -5.369001e-01 -5.190174e-01 -5.190174e-01 -5.408476e-01 -5.214714e-01 -6.530764e-01 -5.385612e-01 -2.739481e-01 -6.508893e-01 -5.841110e-01 -4.204023e-01 -7.457329e-01 -6.768831e-01 -4.670988e-01 -5.225345e-01 -6.042226e-01 -5.484979e-01 -5.883288e-01 -6.704519e-01
20 STANDING 2.685952e-01 -1.928671e-02 -1.116511e-01 6.572439e-01 -6.861817e-02  1.067904e-01 8.358689e-02  6.111878e-03 -6.074915e-03 -2.564831e-02 -7.893076e-02 8.216350e-02 -9.531898e-02 -4.240815e-02 -5.566132e-02 -5.683341e-01 -5.683341e-01 -6.631446e-01 -5.812616e-01 -7.308648e-01 -6.457345e-01 -5.063204e-01 -6.595320e-01 -1.924368e-01 -5.228099e-02  6.340816e-02 -6.741207e-01 -6.293269e-01 -7.344658e-01 -5.826662e-02 -3.160697e-01 -1.758687e-01 -6.635252e-01 -6.420436e-01 -5.872179e-01 -1.711975e-01 -2.259858e-01 -2.117235e-01 -6.034433e-01  4.996496e-02 -6.211381e-01  6.402090e-02 -6.539586e-01 -1.189159e-01 -7.188714e-01  1.547607e-02 -6.507889e-01 -4.562598e-01 -6.308930e-01 -9.583249e-01 -9.535761e-01 -9.388736e-01 -6.593096e-01 -6.067931e-01 -7.540195e-01 -7.099481e-01 -6.428397e-01 -5.796205e-01 -7.339411e-01 -7.163533e-01 -7.153586e-01 -6.143264e-01 -6.143264e-01 -6.263023e-01 -6.261557e-01 -7.074768e-01 -6.540362e-01 -4.662987e-01 -6.448575e-01 -6.745760e-01 -6.090330e-01 -7.721510e-01 -7.262263e-01 -6.467624e-01 -6.163404e-01 -6.830388e-01 -6.358414e-01 -6.732307e-01 -7.137689e-01
